"Step","lunar_lander_lambda0 - Eval_AverageReturn","lunar_lander_lambda0 - Eval_AverageReturn__MIN","lunar_lander_lambda0 - Eval_AverageReturn__MAX","lunar_lander_lambda1 - Eval_AverageReturn","lunar_lander_lambda1 - Eval_AverageReturn__MIN","lunar_lander_lambda1 - Eval_AverageReturn__MAX","lunar_lander_lambda0.99 - Eval_AverageReturn","lunar_lander_lambda0.99 - Eval_AverageReturn__MIN","lunar_lander_lambda0.99 - Eval_AverageReturn__MAX","lunar_lander_lambda0.98 - Eval_AverageReturn","lunar_lander_lambda0.98 - Eval_AverageReturn__MIN","lunar_lander_lambda0.98 - Eval_AverageReturn__MAX","lunar_lander_lambda0.95 - Eval_AverageReturn","lunar_lander_lambda0.95 - Eval_AverageReturn__MIN","lunar_lander_lambda0.95 - Eval_AverageReturn__MAX"
"68","-85.7763671875","-85.7763671875","-85.7763671875","25.21773338317871","25.21773338317871","25.21773338317871","10.982277870178223","10.982277870178223","10.982277870178223","70.06012725830078","70.06012725830078","70.06012725830078","104.46797180175781","104.46797180175781","104.46797180175781"
"69","-146.8045196533203","-146.8045196533203","-146.8045196533203","39.713924407958984","39.713924407958984","39.713924407958984","1.4148283004760742","1.4148283004760742","1.4148283004760742","73.91447448730469","73.91447448730469","73.91447448730469","-111.799072265625","-111.799072265625","-111.799072265625"
"70","-112.23503875732422","-112.23503875732422","-112.23503875732422","10.460025787353516","10.460025787353516","10.460025787353516","27.700382232666016","27.700382232666016","27.700382232666016","71.43191528320312","71.43191528320312","71.43191528320312","60.670013427734375","60.670013427734375","60.670013427734375"
"71","-184.836669921875","-184.836669921875","-184.836669921875","47.35295867919922","47.35295867919922","47.35295867919922","60.91291046142578","60.91291046142578","60.91291046142578","72.17880249023438","72.17880249023438","72.17880249023438","0.14747238159179688","0.14747238159179688","0.14747238159179688"
"72","-70.5836410522461","-70.5836410522461","-70.5836410522461","16.07250213623047","16.07250213623047","16.07250213623047","26.612319946289062","26.612319946289062","26.612319946289062","28.733999252319336","28.733999252319336","28.733999252319336","-33.3345832824707","-33.3345832824707","-33.3345832824707"
"73","-161.36502075195312","-161.36502075195312","-161.36502075195312","-21.98543357849121","-21.98543357849121","-21.98543357849121","-8.05974292755127","-8.05974292755127","-8.05974292755127","81.8094253540039","81.8094253540039","81.8094253540039","-29.234821319580078","-29.234821319580078","-29.234821319580078"
"74","51.21436309814453","51.21436309814453","51.21436309814453","21.381492614746094","21.381492614746094","21.381492614746094","119.2566909790039","119.2566909790039","119.2566909790039","75.68328857421875","75.68328857421875","75.68328857421875","-23.915372848510742","-23.915372848510742","-23.915372848510742"
"75","13.61705493927002","13.61705493927002","13.61705493927002","70.1148681640625","70.1148681640625","70.1148681640625","36.26431655883789","36.26431655883789","36.26431655883789","-5.667490005493164","-5.667490005493164","-5.667490005493164","-151.27114868164062","-151.27114868164062","-151.27114868164062"
"76","-29.374319076538086","-29.374319076538086","-29.374319076538086","49.59272766113281","49.59272766113281","49.59272766113281","29.695322036743164","29.695322036743164","29.695322036743164","123.74613952636719","123.74613952636719","123.74613952636719","-129.06463623046875","-129.06463623046875","-129.06463623046875"
"77","-134.37672424316406","-134.37672424316406","-134.37672424316406","20.14044761657715","20.14044761657715","20.14044761657715","92.18968963623047","92.18968963623047","92.18968963623047","72.2239990234375","72.2239990234375","72.2239990234375","-65.51012420654297","-65.51012420654297","-65.51012420654297"
"78","-118.78006744384766","-118.78006744384766","-118.78006744384766","99.63882446289062","99.63882446289062","99.63882446289062","122.1787109375","122.1787109375","122.1787109375","88.45222473144531","88.45222473144531","88.45222473144531","-34.644508361816406","-34.644508361816406","-34.644508361816406"
